event_frame,event_type,team,h1_at_event,mean_persistence_before,mean_persistence_after,persistence_delta,h1_before,h1_after,match_id,scale,data_source
3132,passing_option,Melbourne V FC,3,3.5086666107177735,2.580485153198242,-0.9281814575195315,3.0,2.2,2017461,individual,dynamic_events
3142,passing_option,Melbourne V FC,2,4.415523529052734,3.4432058334350586,-0.9723176956176758,3.0,2.4,2017461,individual,dynamic_events
3142,passing_option,Melbourne V FC,2,4.415523529052734,3.4432058334350586,-0.9723176956176758,3.0,2.4,2017461,individual,dynamic_events
3142,passing_option,Melbourne V FC,2,4.415523529052734,3.4432058334350586,-0.9723176956176758,3.0,2.4,2017461,individual,dynamic_events
3142,passing_option,Melbourne V FC,2,4.415523529052734,3.4432058334350586,-0.9723176956176758,3.0,2.4,2017461,individual,dynamic_events
3172,player_possession,Auckland FC,3,2.8060264587402344,6.205323696136475,3.3992972373962402,2.6,2.8,2017461,individual,dynamic_events
3172,on_ball_engagement,Melbourne V FC,3,2.8060264587402344,6.205323696136475,3.3992972373962402,2.6,2.8,2017461,individual,dynamic_events
3172,on_ball_engagement,Melbourne V FC,3,2.8060264587402344,6.205323696136475,3.3992972373962402,2.6,2.8,2017461,individual,dynamic_events
3182,player_possession,Auckland FC,2,3.110980987548828,7.061691856384277,3.950710868835449,2.4,3.2,2017461,individual,dynamic_events
3182,passing_option,Auckland FC,2,3.110980987548828,7.061691856384277,3.950710868835449,2.4,3.2,2017461,individual,dynamic_events
3182,passing_option,Auckland FC,2,3.110980987548828,7.061691856384277,3.950710868835449,2.4,3.2,2017461,individual,dynamic_events
3182,passing_option,Auckland FC,2,3.110980987548828,7.061691856384277,3.950710868835449,2.4,3.2,2017461,individual,dynamic_events
3192,passing_option,Auckland FC,3,2.580485153198242,7.094809818267822,4.51432466506958,2.2,3.2,2017461,individual,dynamic_events
3192,passing_option,Auckland FC,3,2.580485153198242,7.094809818267822,4.51432466506958,2.2,3.2,2017461,individual,dynamic_events
3202,player_possession,Melbourne V FC,3,3.4432058334350586,6.137575435638428,2.694369602203369,2.4,3.2,2017461,individual,dynamic_events
3202,passing_option,Melbourne V FC,3,3.4432058334350586,6.137575435638428,2.694369602203369,2.4,3.2,2017461,individual,dynamic_events
3202,passing_option,Melbourne V FC,3,3.4432058334350586,6.137575435638428,2.694369602203369,2.4,3.2,2017461,individual,dynamic_events
3202,on_ball_engagement,Auckland FC,3,3.4432058334350586,6.137575435638428,2.694369602203369,2.4,3.2,2017461,individual,dynamic_events
3202,on_ball_engagement,Auckland FC,3,3.4432058334350586,6.137575435638428,2.694369602203369,2.4,3.2,2017461,individual,dynamic_events
3212,player_possession,Melbourne V FC,3,5.124930381774902,5.812502670288086,0.6875722885131834,2.8,3.0,2017461,individual,dynamic_events
3212,passing_option,Melbourne V FC,3,5.124930381774902,5.812502670288086,0.6875722885131834,2.8,3.0,2017461,individual,dynamic_events
3212,passing_option,Melbourne V FC,3,5.124930381774902,5.812502670288086,0.6875722885131834,2.8,3.0,2017461,individual,dynamic_events
3212,passing_option,Melbourne V FC,3,5.124930381774902,5.812502670288086,0.6875722885131834,2.8,3.0,2017461,individual,dynamic_events
3212,off_ball_run,Melbourne V FC,3,5.124930381774902,5.812502670288086,0.6875722885131834,2.8,3.0,2017461,individual,dynamic_events
3222,off_ball_run,Melbourne V FC,3,6.353390026092529,5.679863548278808,-0.6735264778137209,2.8,2.6,2017461,individual,dynamic_events
3222,on_ball_engagement,Auckland FC,3,6.353390026092529,5.679863548278808,-0.6735264778137209,2.8,2.6,2017461,individual,dynamic_events
3232,player_possession,Melbourne V FC,4,6.205323696136475,4.5720549583435055,-1.633268737792969,2.8,2.0,2017461,individual,dynamic_events
3232,passing_option,Melbourne V FC,4,6.205323696136475,4.5720549583435055,-1.633268737792969,2.8,2.0,2017461,individual,dynamic_events
3232,passing_option,Melbourne V FC,4,6.205323696136475,4.5720549583435055,-1.633268737792969,2.8,2.0,2017461,individual,dynamic_events
3232,passing_option,Melbourne V FC,4,6.205323696136475,4.5720549583435055,-1.633268737792969,2.8,2.0,2017461,individual,dynamic_events
3232,off_ball_run,Melbourne V FC,4,6.205323696136475,4.5720549583435055,-1.633268737792969,2.8,2.0,2017461,individual,dynamic_events
3242,on_ball_engagement,Auckland FC,3,7.061691856384277,3.5864370346069334,-3.4752548217773436,3.2,2.0,2017461,individual,dynamic_events
3242,on_ball_engagement,Auckland FC,3,7.061691856384277,3.5864370346069334,-3.4752548217773436,3.2,2.0,2017461,individual,dynamic_events
3262,on_ball_engagement,Melbourne V FC,2,6.137575435638428,2.5892827987670897,-3.548292636871338,3.2,2.2,2017461,individual,dynamic_events
3272,player_possession,Auckland FC,1,5.812502670288086,3.0783880233764647,-2.734114646911621,3.0,2.6,2017461,individual,dynamic_events
3272,passing_option,Auckland FC,1,5.812502670288086,3.0783880233764647,-2.734114646911621,3.0,2.6,2017461,individual,dynamic_events
3272,passing_option,Auckland FC,1,5.812502670288086,3.0783880233764647,-2.734114646911621,3.0,2.6,2017461,individual,dynamic_events
3272,on_ball_engagement,Melbourne V FC,1,5.812502670288086,3.0783880233764647,-2.734114646911621,3.0,2.6,2017461,individual,dynamic_events
3282,off_ball_run,Auckland FC,1,5.679863548278808,3.136137771606445,-2.543725776672363,2.6,2.8,2017461,individual,dynamic_events
3282,off_ball_run,Auckland FC,1,5.679863548278808,3.136137771606445,-2.543725776672363,2.6,2.8,2017461,individual,dynamic_events
3302,player_possession,Auckland FC,4,3.5864370346069334,2.919566345214844,-0.6668706893920895,2.0,2.0,2017461,individual,dynamic_events
3302,passing_option,Auckland FC,4,3.5864370346069334,2.919566345214844,-0.6668706893920895,2.0,2.0,2017461,individual,dynamic_events
3302,passing_option,Auckland FC,4,3.5864370346069334,2.919566345214844,-0.6668706893920895,2.0,2.0,2017461,individual,dynamic_events
3302,passing_option,Auckland FC,4,3.5864370346069334,2.919566345214844,-0.6668706893920895,2.0,2.0,2017461,individual,dynamic_events
