match_id,delta,mean_h0,std_h0,p_k_ge_4,n_frames
1996435,0.25,21.981634527089074,0.13598369099814908,1.0,4356
1996435,0.5,21.919421487603305,0.29644543320429684,1.0,4356
1996435,0.75,21.80394857667585,0.4985794019888165,1.0,4356
1996435,1.0,21.622130394857667,0.7260965625351142,1.0,4356
1996435,1.25,21.384986225895318,0.9889606622833235,1.0,4356
1996435,1.5,21.104683195592287,1.2349915948909072,1.0,4356
1996435,1.75,20.79729109274564,1.4611704440502067,1.0,4356
1996435,2.0,20.463728191000918,1.6812103407707837,1.0,4356
1996435,2.25,20.125114784205692,1.8745263430882424,1.0,4356
1996435,2.5,19.767676767676768,2.058885639810052,1.0,4356
1996435,2.75,19.385215794306703,2.234352807363565,1.0,4356
1996435,3.0,18.986685032139576,2.397531630190607,1.0,4356
1996435,3.25,18.57943067033976,2.545634789999475,1.0,4356
1996435,3.5,18.158172635445364,2.6734231831976802,1.0,4356
1996435,3.75,17.745638200183656,2.7722657582144654,1.0,4356
1996435,4.0,17.310146923783286,2.8648065038446213,1.0,4356
1996435,4.25,16.855371900826448,2.943200703028176,1.0,4356
1996435,4.5,16.41046831955923,3.0042481458500427,1.0,4356
1996435,4.75,15.959825528007347,3.073607866941512,1.0,4356
1996435,5.0,15.531910009182736,3.112013849130668,1.0,4356
1996435,5.25,15.0821854912764,3.1620081686819317,1.0,4356
1996435,5.5,14.620982552800735,3.19870963488144,1.0,4356
1996435,5.75,14.165059687786961,3.2087109509249667,1.0,4356
1996435,6.0,13.70821854912764,3.209420182045872,1.0,4356
1996435,6.25,13.243801652892563,3.191876983601503,0.9997704315886135,4356
1996435,6.5,12.79843893480257,3.197625029436126,0.9990817263544536,4356
1996435,6.75,12.34228650137741,3.180907842397298,0.9986225895316805,4356
1996435,7.0,11.887741046831955,3.132148966164586,0.9983930211202938,4356
1996435,7.25,11.42860422405877,3.097378466879891,0.9974747474747475,4356
1996435,7.5,10.981404958677686,3.0598129882016645,0.9963269054178145,4356
1996435,7.75,10.539485766758494,3.0044058137147163,0.9958677685950413,4356
1996435,8.0,10.116850321395775,2.9477471280976095,0.9940312213039486,4356
1996435,8.25,9.706382001836547,2.872629560612128,0.9917355371900827,4356
1996435,8.5,9.279384756657484,2.800811295911196,0.988751147842057,4356
1996435,8.75,8.865472910927457,2.7322611103545347,0.9862258953168044,4356
1996435,9.0,8.464876033057852,2.6646310365560355,0.9793388429752066,4356
1996435,9.25,8.067033976124884,2.5907379884267985,0.9742883379247016,4356
1996435,9.5,7.68732782369146,2.499604583924071,0.9676308539944903,4356
1996435,9.75,7.326675849403122,2.409040581846356,0.9595959595959596,4356
1996435,10.0,6.978191000918273,2.3168591979388804,0.9485766758494031,4356
1996435,10.25,6.639118457300276,2.2182156964497675,0.9377869605142333,4356
1996435,10.5,6.326675849403122,2.1357027503742705,0.9233241505968779,4356
1996435,10.75,6.024104683195592,2.0457718154943523,0.9072543617998163,4356
1996435,11.0,5.738292011019284,1.9650010527256352,0.8882001836547291,4356
1996435,11.25,5.452249770431589,1.8735617799637496,0.8652433425160698,4356
1996435,11.5,5.2047750229568415,1.7953467522611792,0.8331037649219467,4356
1996435,11.75,4.971533516988062,1.7179053111619988,0.7993572084481175,4356
1996435,12.0,4.759871441689624,1.6480740962915954,0.7653810835629018,4356
1996435,12.25,4.554407713498622,1.575800445144111,0.7263544536271809,4356
1996435,12.5,4.371212121212121,1.4993875519687536,0.6893939393939394,4356
1996435,12.75,4.202479338842975,1.4311134476055525,0.6483011937557392,4356
1996435,13.0,4.031910009182736,1.3591180794113094,0.6067493112947658,4356
1996435,13.25,3.888200183654729,1.3004064973787102,0.5661157024793388,4356
1996435,13.5,3.7428833792470155,1.2433085545539437,0.52089072543618,4356
1996435,13.75,3.616850321395776,1.1855931180870884,0.47796143250688705,4356
1996435,14.0,3.4935720844811753,1.138091138419561,0.4348025711662075,4356
1996435,14.25,3.38544536271809,1.0954280560339613,0.39990817263544537,4356
1996435,14.5,3.2796143250688705,1.044303310087399,0.3627180899908173,4356
1996435,14.75,3.175619834710744,0.9907321193764961,0.32231404958677684,4356
1996435,15.0,3.0787419651056016,0.949468581315057,0.2839761248852158,4356
1996435,15.25,3.0002295684113864,0.903240723683972,0.25413223140495866,4356
1996435,15.5,2.9290633608815426,0.8653398128028523,0.222910927456382,4356
1996435,15.75,2.8581267217630852,0.823077353161949,0.19352617079889808,4356
1996435,16.0,2.7908631772268135,0.7857041207931726,0.17011019283746556,4356
1996435,16.25,2.738751147842057,0.7613962047044178,0.1554178145087236,4356
1996435,16.5,2.6827364554637283,0.7310627624734325,0.13131313131313133,4356
1996435,16.75,2.6283287419651056,0.7028340584504367,0.11019283746556474,4356
1996435,17.0,2.584481175390266,0.6746025623259655,0.09573002754820936,4356
1996435,17.25,2.5472910927456383,0.6568997978439629,0.08310376492194674,4356
1996435,17.5,2.510330578512397,0.6383343573488528,0.0709366391184573,4356
1996435,17.75,2.4674012855831036,0.6189452497358411,0.05968778696051423,4356
1996435,18.0,2.432277318640955,0.5960108123213221,0.048209366391184574,4356
1996435,18.25,2.398989898989899,0.5806990433972006,0.04086317722681359,4356
1996435,18.5,2.3666207529843892,0.5611834832149634,0.0337465564738292,4356
1996435,18.75,2.3399908172635446,0.5483455126955857,0.02938475665748393,4356
1996435,19.0,2.3135904499540865,0.5313664220484131,0.024104683195592287,4356
1996435,19.25,2.2874196510560147,0.5147983669750262,0.020202020202020204,4356
1996435,19.5,2.257346189164371,0.4962580811539674,0.015381083562901745,4356
1996435,19.75,2.233700642791552,0.4792102059653037,0.011707988980716254,4356
1996435,20.0,2.207759412304867,0.4603641876526034,0.007805325987144169,4356
1996435,20.25,2.186179981634527,0.4500307515693465,0.00573921028466483,4356
1996435,20.5,2.1581726354453625,0.4355128294440547,0.004591368227731864,4356
1996435,20.75,2.1352157943067036,0.4262774809153742,0.004132231404958678,4356
1996435,21.0,2.1136363636363638,0.4146430000026596,0.0032139577594123047,4356
1996435,21.25,2.0911386593204777,0.40286515543941787,0.0016069788797061523,4356
1996435,21.5,2.071166207529844,0.3927992729239532,0.001147842056932966,4356
1996435,21.75,2.048898071625344,0.38531741302669514,0.0009182736455463728,4356
1996435,22.0,2.03168044077135,0.3814372780088188,0.0004591368227731864,4356
1996435,22.25,2.0126262626262625,0.3749643857732233,0.0,4356
1996435,22.5,1.9965564738292012,0.37454859079614694,0.0,4356
1996435,22.75,1.9754361799816345,0.38166102357123244,0.0,4356
1996435,23.0,1.962809917355372,0.3845390896991815,0.0,4356
1996435,23.25,1.9453627180899908,0.3907648970932849,0.0,4356
1996435,23.5,1.9281450872359964,0.39296611548967725,0.0,4356
1996435,23.75,1.911386593204775,0.4031435673930997,0.0,4356
1996435,24.0,1.8930211202938476,0.40889867542452873,0.0,4356
1996435,24.25,1.8732782369146006,0.41610781599208596,0.0,4356
1996435,24.5,1.8553719008264462,0.42453034697671516,0.0,4356
