match_id,frame_idx,frame_id,length_m,width_m,hull_area_m2,voronoi_entropy,tactical_h1_total_persistence,tactical_h1_count,tactical_h1_max_persistence,is_buildup,is_chaotic,has_phase
2017461,51,8900,74.28,49.47,1998.7760000000003,1.5433921286392425,1.0668907165527344,1,1.0668907165527344,0,0,1
2017461,52,9000,73.99000000000001,53.52,2435.1896500000007,2.5405188045065223,2.566526412963867,1,2.566526412963867,0,0,0
2017461,53,9100,78.05,49.519999999999996,2310.05265,0.35933874735058957,0.0,0,0.0,0,0,0
2017461,54,9200,79.78,41.14,1891.5845000000002,2.454613937244163,0.0,0,0.0,0,0,1
2017461,55,9300,80.81,43.46,1892.27745,2.0511636112028677,1.6738128662109375,1,1.6738128662109375,0,0,1
2017461,56,9400,80.14,38.78,1853.9499999999998,2.2937770303483522,0.0,0,0.0,0,0,0
2017461,57,9800,80.64,35.370000000000005,1549.18275,1.2018033828365233,0.0,0,0.0,0,0,1
2017461,58,9900,79.88,40.29,1799.8917999999999,1.3461068507713798,0.0,0,0.0,1,0,1
2017461,59,10000,79.84,52.93,2295.8233,2.262350469012194,0.0,0,0.0,0,0,1
2017461,60,10100,75.57,55.629999999999995,2352.97205,1.4387707857865375,3.7277278900146484,1,3.7277278900146484,0,0,1
2017461,61,10200,76.50999999999999,56.03,2434.8189500000003,1.4125316750088466,7.015890121459961,1,7.015890121459961,0,0,1
2017461,62,10300,76.17,49.86,2237.65425,2.413675295973499,0.1886005401611328,1,0.1886005401611328,1,0,1
2017461,63,10400,82.72,50.400000000000006,2623.3199000000004,1.2893489629535755,0.0,0,0.0,0,0,0
2017461,64,10600,76.42,33.7,1499.3233000000005,1.914680473562844,0.0,0,0.0,0,1,1
2017461,65,10700,80.94999999999999,45.25,2082.3588499999996,1.6554988738246372,0.0,0,0.0,0,0,1
2017461,66,10800,77.87,48.07,2086.1791,1.8266013858078956,0.0,0,0.0,0,0,1
2017461,67,10900,81.28,32.54,1464.8975500000004,1.6462794709217752,0.0,0,0.0,0,0,1
2017461,68,11000,73.81,29.1,1189.9688500000004,1.4311563389873128,0.0,0,0.0,0,0,1
2017461,69,11100,71.72999999999999,50.49,1822.1398000000004,1.6527423063817492,0.0,0,0.0,0,0,1
2017461,70,11200,75.66,51.78,1946.8901999999994,2.085084190606443,0.0,0,0.0,0,0,1
2017461,71,11300,78.63,45.4,1781.124,1.6391439728773483,0.0,0,0.0,0,0,1
2017461,72,11400,77.33,54.81,2246.69875,1.4535874182775421,0.0,0,0.0,0,0,1
2017461,73,11500,77.22999999999999,60.2,2430.4384,1.3339918603241332,2.0318145751953125,1,2.0318145751953125,0,0,1
2017461,74,11600,78.4,52.150000000000006,2167.7787500000004,1.120590317513334,0.0,0,0.0,0,0,1
2017461,75,11700,75.56,56.16,2332.8108,2.5373331532973293,0.0,0,0.0,0,0,1
2017461,76,11800,77.58,47.19,1825.4986999999999,1.538643920296095,0.0,0,0.0,0,1,1
