home_h1_count,home_h1_total_persistence,home_h1_mean_persistence,home_h1_max_persistence,home_clusters,away_h1_count,away_h1_total_persistence,away_h1_mean_persistence,away_h1_max_persistence,away_clusters,d_bottleneck_AB,d_landscape_l2_AB,match_id,frame_idx
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,2,0.0,0.0,2017461,48
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,3,0.0,0.0,2017461,49
0,0.0,0.0,0.0,6,0,0.0,0.0,0.0,4,0.0,0.0,2017461,50
1,5.289585113525391,5.289585113525391,5.289585113525391,8,0,0.0,0.0,0.0,4,2.6447925567626953,9.247424702287145,2017461,51
0,0.0,0.0,0.0,9,0,0.0,0.0,0.0,7,0.0,0.0,2017461,52
0,0.0,0.0,0.0,5,1,7.655368804931641,7.655368804931641,7.655368804931641,9,3.8276844024658203,14.80227097483724,2017461,53
0,0.0,0.0,0.0,5,1,9.901142120361328,9.901142120361328,9.901142120361328,8,4.950571060180664,22.92259569784366,2017461,54
0,0.0,0.0,0.0,5,1,1.1335105895996094,1.1335105895996094,1.1335105895996094,8,0.5667552947998047,0.9160031626041896,2017461,55
1,3.9364356994628906,3.9364356994628906,3.9364356994628906,6,0,0.0,0.0,0.0,7,1.9682178497314453,6.098785604038994,2017461,56
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,4,0.0,0.0,2017461,57
0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,6,0.0,0.0,2017461,58
1,6.404792785644531,6.404792785644531,6.404792785644531,7,0,0.0,0.0,0.0,4,3.2023963928222656,11.559089853292537,2017461,59
1,10.676862716674805,10.676862716674805,10.676862716674805,9,0,0.0,0.0,0.0,5,5.338431358337402,25.018791299707217,2017461,60
2,8.783035278320312,4.391517639160156,6.701324462890625,10,1,0.777862548828125,0.777862548828125,0.777862548828125,5,3.350662231445312,17.612904569694678,2017461,61
2,6.036685943603516,3.018342971801758,5.202304840087891,8,0,0.0,0.0,0.0,4,2.6011524200439453,9.418701368070323,2017461,62
0,0.0,0.0,0.0,9,1,3.9058189392089844,3.9058189392089844,3.9058189392089844,7,1.9529094696044922,6.354763861138559,2017461,63
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,5,0.0,0.0,2017461,64
0,0.0,0.0,0.0,4,1,4.440938949584961,4.440938949584961,4.440938949584961,7,2.2204694747924805,7.521891072823876,2017461,65
0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,7,0.0,0.0,2017461,66
0,0.0,0.0,0.0,6,0,0.0,0.0,0.0,4,0.0,0.0,2017461,67
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,2,0.0,0.0,2017461,68
0,0.0,0.0,0.0,6,0,0.0,0.0,0.0,2,0.0,0.0,2017461,69
2,1.3290729522705078,0.6645364761352539,1.1860370635986328,10,0,0.0,0.0,0.0,3,0.5930185317993164,1.2401667497455604,2017461,70
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,2,0.0,0.0,2017461,71
1,2.143404006958008,2.143404006958008,2.143404006958008,7,0,0.0,0.0,0.0,3,1.071702003479004,2.583116157821928,2017461,72
1,7.161989212036133,7.161989212036133,7.161989212036133,7,0,0.0,0.0,0.0,2,3.5809946060180664,13.830890318033854,2017461,73
0,0.0,0.0,0.0,8,1,1.6393718719482422,1.6393718719482422,1.6393718719482422,6,0.8196859359741211,1.6839972571644066,2017461,74
1,0.2851409912109375,0.2851409912109375,0.2851409912109375,6,0,0.0,0.0,0.0,5,0.14257049560546875,0.0,2017461,75
1,0.42578887939453125,0.42578887939453125,0.42578887939453125,6,0,0.0,0.0,0.0,3,0.21289443969726562,0.24952716236117067,2017461,76
2,1.6944580078125,0.84722900390625,1.4559707641601562,7,0,0.0,0.0,0.0,4,0.7279853820800781,1.4210953119128444,2017461,77
0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,4,0.0,0.0,2017461,78
0,0.0,0.0,0.0,7,0,0.0,0.0,0.0,3,0.0,0.0,2017461,79
1,0.48491859436035156,0.48491859436035156,0.48491859436035156,6,0,0.0,0.0,0.0,2,0.24245929718017578,0.3160119273677128,2017461,80
1,3.1144142150878906,3.1144142150878906,3.1144142150878906,6,0,0.0,0.0,0.0,4,1.5572071075439453,3.98543703783413,2017461,81
1,3.8103103637695312,3.8103103637695312,3.8103103637695312,8,0,0.0,0.0,0.0,4,1.9051551818847656,5.7003071747020035,2017461,82
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,1,0.0,0.0,2017461,83
0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,1,0.0,0.0,2017461,84
0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,3,0.0,0.0,2017461,85
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,1,0.0,0.0,2017461,86
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,6,0.0,0.0,2017461,87
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,4,0.0,0.0,2017461,88
0,0.0,0.0,0.0,3,1,1.9416694641113281,1.9416694641113281,1.9416694641113281,6,0.9708347320556641,2.2853667926970487,2017461,89
1,0.5991668701171875,0.5991668701171875,0.5991668701171875,6,1,5.455829620361328,5.455829620361328,5.455829620361328,6,2.727914810180664,15.850857740322947,2017461,90
0,0.0,0.0,0.0,8,0,0.0,0.0,0.0,4,0.0,0.0,2017461,91
1,1.1622028350830078,1.1622028350830078,1.1622028350830078,8,1,3.6956958770751953,3.6956958770751953,3.6956958770751953,5,1.8478479385375977,10.865100740526135,2017461,92
0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,3,0.0,0.0,2017461,93
0,0.0,0.0,0.0,6,2,7.836420059204102,3.918210029602051,4.0431060791015625,9,2.0215530395507812,8.819376944252591,2017461,94
0,0.0,0.0,0.0,5,1,1.4870643615722656,1.4870643615722656,1.4870643615722656,9,0.7435321807861328,1.4539736830624426,2017461,95
0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,3,0.0,0.0,2017461,96
0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,3,0.0,0.0,2017461,97
0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,3,0.0,0.0,2017461,98
