match_id,source,home_team,away_team,frame_idx,timestamp,period,scale,cutoff,h0,h1,cluster_count,filtration,h1_mean_persistence,h1_max_persistence,h1_total_persistence
2017461,skillcorner,Melbourne V FC,Auckland FC,12,6.0,1,tactical,11.75,4,0,4,52.79224112864132,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,12,6.0,1,team,23.0,2,0,2,55.54522538267166,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,13,6.0,1,individual,2.75,17,2,17,32.63923613333229,1.2260265350341797,1.8649883270263672,2.4520530700683594
2017461,skillcorner,Melbourne V FC,Auckland FC,13,6.0,1,tactical,11.75,6,1,6,47.26178387956548,0.770294189453125,0.770294189453125,0.770294189453125
2017461,skillcorner,Melbourne V FC,Auckland FC,13,6.0,1,team,23.0,2,0,2,57.03441489012936,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,14,7.0,1,individual,2.75,21,3,21,29.657799060023706,0.2758144537607829,0.5873823165893555,0.8274433612823486
2017461,skillcorner,Melbourne V FC,Auckland FC,14,7.0,1,tactical,11.75,4,0,4,50.9117758684856,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,14,7.0,1,team,23.0,2,0,2,53.08922980525515,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,15,7.0,1,individual,2.75,18,0,18,28.047449081868393,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,15,7.0,1,tactical,11.75,3,0,3,49.535526625017894,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,15,7.0,1,team,23.0,2,0,2,60.45907100212432,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,16,8.0,1,individual,2.75,20,2,20,30.941199448028456,3.4592714309692383,5.407678604125977,6.918542861938477
2017461,skillcorner,Melbourne V FC,Auckland FC,16,8.0,1,tactical,11.75,3,0,3,47.15992799803641,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,16,8.0,1,team,23.0,2,0,2,56.81549035046844,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,17,8.0,1,individual,2.75,19,4,19,37.994925186201925,1.2680151462554932,3.1378650665283203,5.072060585021973
2017461,skillcorner,Melbourne V FC,Auckland FC,17,8.0,1,tactical,11.75,7,1,7,52.12881952432838,4.601551055908203,4.601551055908203,4.601551055908203
2017461,skillcorner,Melbourne V FC,Auckland FC,17,8.0,1,team,23.0,2,0,2,62.01613663352342,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,18,10.0,1,individual,2.75,17,2,17,32.21245387181269,3.1284384727478027,5.885414123535156,6.2568769454956055
2017461,skillcorner,Melbourne V FC,Auckland FC,18,10.0,1,tactical,11.75,4,0,4,45.68123702741194,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,18,10.0,1,team,23.0,3,0,3,60.36174046831134,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,19,10.0,1,individual,2.75,21,3,21,37.35218515891141,1.2635265986124675,1.8399925231933594,3.7905797958374023
2017461,skillcorner,Melbourne V FC,Auckland FC,19,10.0,1,tactical,11.75,6,1,6,47.84943028567119,1.2360305786132812,1.2360305786132812,1.2360305786132812
2017461,skillcorner,Melbourne V FC,Auckland FC,19,10.0,1,team,23.0,2,0,2,46.0,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,20,11.0,1,individual,2.75,19,3,19,35.496362354419645,1.548476219177246,3.579435348510742,4.645428657531738
2017461,skillcorner,Melbourne V FC,Auckland FC,20,11.0,1,tactical,11.75,6,0,6,46.58672122922708,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,20,11.0,1,team,23.0,1,0,1,46.0,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,21,12.0,1,individual,2.75,18,3,18,28.048475894422502,1.2793432871500652,2.4428176879882812,3.8380298614501953
2017461,skillcorner,Melbourne V FC,Auckland FC,21,12.0,1,tactical,11.75,3,0,3,63.31982332183934,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,21,12.0,1,team,23.0,3,0,3,63.31982332183934,0.0,0.0,0.0
2017461,skillcorner,Melbourne V FC,Auckland FC,22,12.0,1,individual,2.75,21,4,21,37.55744404289551,1.9378678798675537,3.5846805572509766,7.751471519470215
