delta,mean_h0,std_h0,p_k_ge_4,n_frames
0.25,21.978348692768545,0.1505087102643949,1.0,436648
0.5,21.908056374929004,0.33225086045787344,1.0,436648
0.75,21.779559278869936,0.5570764367620477,1.0,436648
1.0,21.588604551034244,0.8148175027731249,1.0,436648
1.25,21.349361499422876,1.0768682416819306,1.0,436648
1.5,21.0699442113556,1.3334290884604896,1.0,436648
1.75,20.759075960499075,1.5793754846285903,1.0,436648
2.0,20.42214552683168,1.8073384618239623,1.0,436648
2.25,20.066591396273427,2.0125171525898886,1.0,436648
2.5,19.693913632949194,2.198966816113273,1.0,436648
2.75,19.305097011780656,2.3737253498789497,1.0,436648
3.0,18.904969220058263,2.5267853316991067,1.0,436648
3.25,18.495744856268665,2.660614050542846,1.0,436648
3.5,18.074148971253734,2.7737855158984277,1.0,436648
3.75,17.644345101775343,2.8760870751332894,1.0,436648
4.0,17.209241769113795,2.9679343044702042,0.9999931294772907,436648
4.25,16.766209853245634,3.045086441384626,0.999979388431872,436648
4.5,16.318157875451163,3.1132119951028856,0.9999679375606896,436648
4.75,15.868999743500485,3.169974575303632,0.9999267144244334,436648
5.0,15.41364898041443,3.2182959187103863,0.9998786207654679,436648
5.25,14.960757864458328,3.2590328278254863,0.9998419779776846,436648
5.5,14.502432165039115,3.292372377717362,0.999764112053645,436648
5.75,14.046453894212272,3.317896036778685,0.9995877686374379,436648
6.0,13.591547424928088,3.334335989117032,0.9993243986002455,436648
6.25,13.137053187006467,3.3406550765279,0.9990495776918707,436648
6.5,12.685210970850662,3.337510162899272,0.9983510745497517,436648
6.75,12.235319983144318,3.3234143740531743,0.9973914915446768,436648
7.0,11.78865585093714,3.3005703087778473,0.9966632161374838,436648
7.25,11.346313277514152,3.269008782937603,0.9957585973140837,436648
7.5,10.905370000549642,3.2269118872675975,0.9944875506128507,436648
7.75,10.472215606163317,3.1737570206814976,0.9928935893442773,436648
8.0,10.04741805756582,3.113486982802381,0.9903492057675748,436648
8.25,9.632614829336216,3.0474084011755185,0.9871635734046647,436648
8.5,9.22395155823455,2.9738378901676907,0.983327531558601,436648
8.75,8.824762737949102,2.893508802944189,0.9785914512376102,436648
9.0,8.437295029405837,2.807349461023428,0.9730538099338598,436648
9.25,8.062666037632143,2.7189461046296928,0.966730638867005,436648
9.5,7.700580330151518,2.627922752581949,0.958808926183104,436648
9.75,7.351555486341401,2.531525877144401,0.9496070061010242,436648
10.0,7.014572378666569,2.433331861635888,0.9388340264927356,436648
10.25,6.692528077536139,2.3324382292426695,0.92657930415346,436648
10.5,6.3856241182829185,2.2324008149814993,0.9125130539931477,436648
10.75,6.0939246257855295,2.1341120042848103,0.895982576354409,436648
11.0,5.812865282790715,2.0320658784804113,0.8763283010571444,436648
11.25,5.547140946483209,1.9326521993134689,0.8543426283871677,436648
11.5,5.29734019164178,1.8394736487514307,0.8290545244682216,436648
11.75,5.06317903666111,1.7518002298149788,0.8002716146644436,436648
12.0,4.842454333925725,1.6666294177678393,0.7689809640717465,436648
12.25,4.638342555101592,1.584272778269671,0.735794049211264,436648
12.5,4.4474771440611205,1.5061644745146088,0.7004566607427493,436648
12.75,4.268307652846229,1.4337448237455295,0.6626023707883696,436648
13.0,4.10101958557007,1.36397987613218,0.6224601967717704,436648
13.25,3.9468496363203314,1.2999234144590983,0.581186676682362,436648
13.5,3.8046664590242028,1.2392805866897125,0.5388871585350213,436648
13.75,3.6715180190908923,1.1812698018021233,0.4959715835180741,436648
14.0,3.5476333339440465,1.1251057656060395,0.4544003407779264,436648
14.25,3.432858961909822,1.0752358485661095,0.4132504900972866,436648
14.5,3.326088748832011,1.0268854553651277,0.37251058060497244,436648
14.75,3.2270845165900224,0.9814121505204201,0.3329409501474872,436648
15.0,3.1356172477602096,0.9396184666694002,0.2952011689049303,436648
15.25,3.052112914750554,0.9013998657965028,0.26034929737454426,436648
15.5,2.9762966966526814,0.8647437654090357,0.22929453472820213,436648
15.75,2.906008959161613,0.8289334091359387,0.2006238434620106,436648
16.0,2.840358824499368,0.7949496899409245,0.17454104908301424,436648
16.25,2.780418094208607,0.7652031647776378,0.15127058866638574,436648
16.5,2.724652351550906,0.737875524700931,0.12984371851010426,436648
16.75,2.67281196753449,0.7112249986377228,0.11081695095362855,436648
17.0,2.6254351331049266,0.6853210576553732,0.09396813909602243,436648
17.25,2.5821783221267474,0.6616146177100736,0.07954233158058666,436648
17.5,2.5425857899268975,0.6399239651679517,0.06747082318022755,436648
17.75,2.504642183177296,0.6191969631831591,0.056443634231692345,436648
18.0,2.4684665909382386,0.5990046572733554,0.0464630549092175,436648
18.25,2.434888056283322,0.5816811446596551,0.03884593539876514,436648
18.5,2.4033821293123983,0.5646132664914673,0.03230748795368352,436648
18.75,2.3732961103680768,0.5477225727796071,0.026520217658159432,436648
19.0,2.3437688939374506,0.5311914642508677,0.021447481724409592,436648
19.25,2.316579945402246,0.5155026764276649,0.017251882523222368,436648
19.5,2.2906162400835455,0.5010407675018971,0.013841813085139517,436648
19.75,2.2655250911489344,0.4870955081992393,0.011127956614939264,436648
20.0,2.2410064857734375,0.4734841416656547,0.008865264469320826,436648
20.25,2.217493266887745,0.4614082817638572,0.007156794488924718,436648
20.5,2.1940418827064363,0.4484302752265969,0.005601766182371155,436648
20.75,2.171678331287444,0.4368517586032964,0.0044589692383796556,436648
21.0,2.1490285080888953,0.42468169004608947,0.003414649786555761,436648
21.25,2.127356589289313,0.4137514100733749,0.0025901870614316335,436648
21.5,2.1060694197614556,0.4042907540401277,0.001928326707095876,436648
21.75,2.08533647239882,0.3965979920923427,0.0014313588977849434,436648
22.0,2.0649585020428356,0.3902744558641478,0.0010603506714790861,436648
22.25,2.0435568238031547,0.3850850282259198,0.000735145929902347,436648
22.5,2.022429966471849,0.3828534995323394,0.000583994430296257,436648
22.75,2.001999322108426,0.38321503355758907,0.00041452153679851964,436648
23.0,1.981719829244609,0.38499430752952796,0.00032291456734028325,436648
23.25,1.9616853850240927,0.3891681529198012,0.00025878968871951777,436648
23.5,1.9419326322346604,0.3941027778664622,0.00021069602975394368,436648
23.75,1.9217676480826662,0.40006315489663113,0.00017863359044356094,436648
24.0,1.9020148952932339,0.4068102377217663,0.00015344167384254595,436648
24.25,1.8828415565856251,0.4142322063712273,0.00013283010571444275,436648
24.5,1.8635651600373757,0.42245070351861397,0.0001236694087686191,436648
24.75,1.845035360290211,0.430386726232487,0.00011679888605925139,436648
25.0,1.825807057400927,0.4378054576171987,0.00011221853758633957,436648
25.25,1.8069360216925303,0.44535108597608536,0.00010534801487697184,436648
25.5,1.787082501236694,0.4525375974817593,0.00010076766640406002,436648
25.75,1.767265623568641,0.4595450480947156,9.389714369469229e-05,436648
26.0,1.7467090196222128,0.46660104234432487,8.931679522178047e-05,436648
26.25,1.7259692017368682,0.4729642858224189,8.244627251241274e-05,436648
26.5,1.7047690588299957,0.47928311587368594,7.557574980304502e-05,436648
26.75,1.68425596819406,0.48465846711908983,6.870522709367729e-05,436648
27.0,1.6632779721881241,0.48920047766690117,6.183470438430955e-05,436648
27.25,1.6427190780674594,0.4934304768027215,5.496418167494183e-05,436648
27.5,1.6217296311903409,0.49707364452784636,5.038383320203001e-05,436648
27.75,1.6010424873124347,0.500046386486657,4.351331049266228e-05,436648
28.0,1.5808110881075832,0.5020130231899718,3.664278778329455e-05,436648
