sample_idx,level,cutoff_m,birth,death,p
0,individual,2.75,12.938891410827637,14.972599029541016,2.033707618713379
0,individual,2.75,11.942953109741211,12.711908340454102,0.7689552307128906
0,individual,2.75,9.431574821472168,10.366894721984863,0.9353199005126953
1,individual,2.75,9.493182182312012,10.0353422164917,0.5421600341796875
1,individual,2.75,6.486765384674072,7.0400285720825195,0.5532631874084473
1,individual,2.75,5.788376331329346,8.469305038452148,2.6809287071228027
2,individual,2.75,22.194307327270508,26.959184646606445,4.7648773193359375
2,individual,2.75,16.313396453857422,21.300228118896484,4.9868316650390625
2,individual,2.75,13.96030044555664,15.425579071044922,1.4652786254882812
2,individual,2.75,12.505934715270996,16.44570541381836,3.9397706985473633
3,individual,2.75,14.818913459777832,15.117859840393066,0.2989463806152344
3,individual,2.75,13.449732780456543,21.913240432739258,8.463507652282715
3,individual,2.75,11.252059936523438,13.2401704788208,1.9881105422973633
3,individual,2.75,9.909152030944824,12.10041332244873,2.1912612915039062
3,individual,2.75,8.4116849899292,9.034149169921875,0.6224641799926758
4,individual,2.75,15.443963050842285,15.709360122680664,0.2653970718383789
4,individual,2.75,13.763041496276855,14.369558334350586,0.6065168380737305
4,individual,2.75,12.122384071350098,14.366506576538086,2.2441225051879883
4,individual,2.75,11.410144805908203,13.519693374633789,2.109548568725586
5,individual,2.75,14.465065002441406,17.395965576171875,2.9309005737304688
5,individual,2.75,14.133028984069824,14.454124450683594,0.32109546661376953
5,individual,2.75,8.591531753540039,8.625429153442383,0.03389739990234375
5,individual,2.75,7.956362247467041,7.990619659423828,0.03425741195678711
5,individual,2.75,7.8249664306640625,9.711359024047852,1.886392593383789
6,individual,2.75,8.0,10.465720176696777,2.4657201766967773
8,individual,2.75,6.848861217498779,8.955718994140625,2.1068577766418457
9,individual,2.75,15.995461463928223,18.44183349609375,2.4463720321655273
9,individual,2.75,12.805445671081543,15.61693000793457,2.8114843368530273
10,individual,2.75,10.165369033813477,10.950069427490234,0.7847003936767578
10,individual,2.75,6.803398132324219,8.378549575805664,1.5751514434814453
11,individual,2.75,16.233083724975586,17.5184326171875,1.285348892211914
12,individual,2.75,11.753637313842773,13.127318382263184,1.3736810684204102
12,individual,2.75,8.167888641357422,9.39043140411377,1.2225427627563477
13,individual,2.75,20.99980926513672,26.146635055541992,5.146825790405273
13,individual,2.75,11.74571418762207,12.878000259399414,1.1322860717773438
13,individual,2.75,9.234652519226074,9.774585723876953,0.5399332046508789
13,individual,2.75,5.691581726074219,6.406887054443359,0.7153053283691406
14,individual,2.75,14.755948066711426,15.372697830200195,0.6167497634887695
14,individual,2.75,14.49098014831543,14.635781288146973,0.14480113983154297
14,individual,2.75,13.19113540649414,15.206290245056152,2.0151548385620117
14,individual,2.75,6.912991523742676,7.499576568603516,0.5865850448608398
15,individual,2.75,14.279471397399902,18.91158676147461,4.632115364074707
15,individual,2.75,10.890225410461426,11.324468612670898,0.43424320220947266
15,individual,2.75,10.846437454223633,10.993766784667969,0.14732933044433594
16,individual,2.75,13.151015281677246,15.04448413848877,1.8934688568115234
16,individual,2.75,10.949251174926758,12.711294174194336,1.7620429992675781
17,individual,2.75,5.961883544921875,7.791439533233643,1.8295559883117676
18,individual,2.75,15.865694999694824,20.640165328979492,4.774470329284668
19,individual,2.75,14.75015640258789,16.79861068725586,2.0484542846679688
19,individual,2.75,14.723779678344727,17.215951919555664,2.4921722412109375
19,individual,2.75,14.301836013793945,17.948429107666016,3.6465930938720703
19,individual,2.75,13.599566459655762,16.889629364013672,3.29006290435791
20,individual,2.75,13.599209785461426,13.817047119140625,0.21783733367919922
20,individual,2.75,13.230513572692871,13.337113380432129,0.10659980773925781
20,individual,2.75,13.170269966125488,13.976771354675293,0.8065013885498047
20,individual,2.75,10.665300369262695,15.176252365112305,4.510951995849609
21,individual,2.75,20.235300064086914,21.593677520751953,1.358377456665039
21,individual,2.75,19.200849533081055,22.534570693969727,3.333721160888672
21,individual,2.75,13.986454010009766,14.3318452835083,0.34539127349853516
22,individual,2.75,17.87699317932129,22.309139251708984,4.432146072387695
22,individual,2.75,12.815685272216797,14.863714218139648,2.0480289459228516
23,individual,2.75,14.456572532653809,15.94536018371582,1.4887876510620117
