scale,adopted_cutoff_m,selection_rule,pooled_mean_h0,acceptance_lo,acceptance_hi,acceptance_all_ok,n_matches_failing_acceptance,per_match_delta_mean,per_match_delta_std,n_matches,n_frames_pooled
individual,2.75,largest delta with mean H0 >= 19,19.305097011780656,15.0,22.0,True,0,2.8,0.19720265943665388,10,436648
tactical,11.75,argmin |mean H0 - 5| among P(k >= 4) >= 0.5,5.06317903666111,4.0,10.0,True,0,11.8,0.3496029493900505,10,436648
team,23.0,smallest delta with mean H0 <= 2,1.981719829244609,1.0,2.5,True,0,22.975,0.7212065507806269,10,436648
