delta,mean_ch,mean_sil,mean_ic,n
0.25,89370.17843727242,0.08485160861419946,4.45744559875817,43681
0.5,24622.39462171933,0.08583049037388034,4.450996794318966,43681
0.75,10794.830672577591,0.09005970611221278,4.438832416934533,43681
1.0,5618.357595156,0.09465606494921618,4.420551795005731,43681
1.25,3644.8723374477677,0.1000009555084655,4.396811270435485,43681
1.5,2100.918775882472,0.10658940752142959,4.368350267640393,43681
1.75,1586.0963706118746,0.11371538798824896,4.335661149537166,43681
2.0,1182.3516216298337,0.12193566392042576,4.299501473933289,43681
2.25,927.8015383480721,0.13061676902206856,4.260262356473289,43681
2.5,658.6437533152758,0.140203070651418,4.217633753379477,43681
2.75,535.3551189761625,0.15048861116180998,4.171948618188198,43681
3.0,413.5882167696391,0.16095386497526373,4.124933264976649,43681
3.25,342.95278167705396,0.17147672907616732,4.075146423292129,43681
3.5,235.26255562197625,0.18286345603659193,4.022856448345573,43681
3.75,198.2938727635181,0.19378223090819324,3.9683079238581827,43681
4.0,165.9016754637234,0.20425481347847402,3.912344049327951,43681
4.25,143.86406454979976,0.21456484390109917,3.8534034623301894,43681
4.5,125.03346494790554,0.2241536122214505,3.7928835275073975,43681
4.75,110.32108260222313,0.23279015845935738,3.7296168650139867,43681
5.0,95.91596331793254,0.24055995018250328,3.663345229230237,43681
5.25,85.54223091385397,0.24761821462024022,3.595763272935421,43681
5.5,70.41871117511502,0.25388446379135055,3.524731742638324,43681
5.75,62.57942248582121,0.2587717803918941,3.451999115852464,43681
6.0,53.790631354008056,0.26285132406808226,3.376525157531163,43681
6.25,48.34681072748426,0.2658947627659957,3.29773123996084,43681
6.5,43.82460411349289,0.2682412789860978,3.2181306384507353,43681
6.75,39.85503754319059,0.26984560964332077,3.135454352241794,43681
7.0,36.27095099496296,0.27041426938749163,3.0508692953534804,43681
7.25,33.10138417826348,0.26997670121373374,2.9631070046850474,43681
7.5,30.35956835032473,0.2699185871554215,2.8738358769862242,43681
7.75,27.991681683421803,0.26866384481208455,2.782350826217473,43681
8.0,25.894106789631387,0.26731877312387736,2.6895682739230273,43681
8.25,24.018900929945488,0.2653716803799135,2.595461752204397,43681
8.5,22.307760399093322,0.2634266225400479,2.499226851911369,43681
8.75,20.801668387400166,0.2609543869934473,2.402215917285846,43681
9.0,19.468155349132505,0.2583362687430603,2.30589231886953,43681
9.25,18.301356102280035,0.2557889545955685,2.2096534118165416,43681
9.5,17.214369557299236,0.2532417531377907,2.1120474129062234,43681
9.75,16.287332258417234,0.2513754216182597,2.0156750057406847,43681
10.0,15.445314701437537,0.24970449211416654,1.9201312396410672,43681
10.25,14.691984405085154,0.24822318923042264,1.8261872925529108,43681
10.5,14.015200492545635,0.24717921030169768,1.7339689504615015,43681
10.75,13.42167489932759,0.24690463439965182,1.6438409207424773,43681
11.0,12.869950978291456,0.24685604039461131,1.5564902865862749,43681
11.25,12.400721214543495,0.2478767534290676,1.4693794641012479,43681
11.5,11.965292171015196,0.2496037733344124,1.3870864923442012,43681
11.75,11.5726071293993,0.2519624976748958,1.3087558396062515,43681
12.0,11.225526475102088,0.25512266920738824,1.232654147878245,43681
12.25,10.920484044141777,0.2588919769719496,1.1621719456271244,43681
12.5,10.653336410457594,0.2634476339287418,1.0940646801680975,43681
12.75,10.431984400673784,0.26919447721917517,1.031322466267565,43681
13.0,10.23160917757876,0.2755765476073845,0.9715266069619821,43681
